"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"Svinesund (Sonvikvn.)";"20.0";"100.0";"Ev6";"59.10881";"11.25596";"Ja";"AutoPASS + manuell";"0101";"92260258";"14427";"16";"2013";"91907673"
"Raukerud";"23.0";"46.0";"Ev6";"59.48564";"10.70718";"Ja";"AutoPASS + automatisk";"0104";"92269108";"31366";"15";"2013";"91907617"
"HOVINMOEN";"14.0";"28.0";"Ev6";"60.18095";"11.17289";"Ja";"AutoPASS + automatisk";"0235";"261942611";"19570";"15";"2013";"255171064"
"HOVINMOEN";"14.0";"28.0";"Ev6";"60.18095";"11.17289";"Ja";"AutoPASS + automatisk";"0235";"261942611";"19570";"15";"2013";"255171064"
"Andelva";"15.0";"30.0";"Ev6";"60.30649";"11.14134";"Ja";"AutoPASS + automatisk";"0237";"305830577";"14270";"15";"2013";"237446517"
"Andelva";"15.0";"30.0";"Ev6";"60.30649";"11.14134";"Ja";"AutoPASS + automatisk";"0237";"305830577";"14270";"15";"2013";"237446517"
"Tømte";"11.0";"22.0";"Ev6";"60.37159";"11.20553";"Ja";"AutoPASS + automatisk";"0237";"305830476";"13000";"18";"2013";"319606904"
"Tømte";"11.0";"22.0";"Ev6";"60.37159";"11.20553";"Ja";"AutoPASS + automatisk";"0237";"305830476";"13000";"18";"2013";"319606904"
"E6 Europavegen";"31.0";"93.0";"Ev6";"59.87818";"10.81977";"Ja";"AutoPASS + automatisk";"0301";"86574511";"69000";"8";"2013";"86338436"
"E6 Djupdalsveien v/ Alna";"31.0";"93.0";"Ev6";"59.92365";"10.83034";"Ja";"AutoPASS + automatisk";"0301";"86574510";"24500";"13";"2013";"86338424"
"R190 Ulven";"31.0";"93.0";"Ev6";"59.92216";"10.82581";"Ja";"AutoPASS + automatisk";"0301";"209148809";"48100";"12";"2013";"86337987"
"Rampe E6 Europaveg  mot Oslo";"31.0";"93.0";"Ev6";"59.87837";"10.82021";"Ja";"AutoPASS + automatisk";"0301";"209148808";"5100";"8";"2013";"237419802"
"Kolomoen";"17.0";"34.0";"Ev6";"60.64937";"11.29279";"Ja";"AutoPASS + automatisk";"0417";"262052940";"12800";"16";"2013";"237495623"
"Kolomoen";"17.0";"34.0";"Ev6";"60.64937";"11.29279";"Ja";"AutoPASS + automatisk";"0417";"262052940";"12800";"16";"2013";"237495623"
